sha256,group_size,split,source_split,image_path,label_path,file_name,label_hash,label_hash_count_in_group
00950d690534f86dd63848b55140cfc1587181449c1f906046f940571bfa6368,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.txt,images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.jpg,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2
00950d690534f86dd63848b55140cfc1587181449c1f906046f940571bfa6368,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.txt,images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.jpg,5e17be6413103b6783816bea3c2c443d64f294c35c7c03c82e4af455517ac4ce,2
0208573db05f1c08998f5a19cc055a7cd1de249da0f28d1e8a80a61ecb020393,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-3-1-_jpg.rf.f50a9f638e32d4d9824cf647c6ed1a68.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-3-1-_jpg.rf.f50a9f638e32d4d9824cf647c6ed1a68.txt,download-3-1-_jpg.rf.f50a9f638e32d4d9824cf647c6ed1a68.jpg,3edf6637d69a1ae6c1494269bed0ac7118ba8871d6c08e0c714110980ae74cc9,1
0208573db05f1c08998f5a19cc055a7cd1de249da0f28d1e8a80a61ecb020393,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-3-1-_jpg.rf.fdaba077ae485d2466a5fc941fe5fda0.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-3-1-_jpg.rf.fdaba077ae485d2466a5fc941fe5fda0.txt,download-3-1-_jpg.rf.fdaba077ae485d2466a5fc941fe5fda0.jpg,3edf6637d69a1ae6c1494269bed0ac7118ba8871d6c08e0c714110980ae74cc9,1
02478fed90a52387be4f7b5a5af71168536dae2d4bcc5715a12e00e9633cfe24,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.txt,D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.jpg,c7cad7994cd88121d1959ccd9b69e60f72be184738c285e15ce8bd3518478a55,2
02478fed90a52387be4f7b5a5af71168536dae2d4bcc5715a12e00e9633cfe24,2,valid,valid,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/labels/D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.txt,D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.jpg,786a290b1207b10bfff4be1fca1c859853dd70f18751c3c27aa8f985141325ce,2
03163423db66014ee9ef4a9cc7a951670a37610603121398e9248af510e47eb2,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-17-_jpg.rf.6771ee395420810f76c21345af953c02.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-17-_jpg.rf.6771ee395420810f76c21345af953c02.txt,images-17-_jpg.rf.6771ee395420810f76c21345af953c02.jpg,b3408c5d12a4492e01594adb8d23ee83f7e2bb66c8aff0ddf469ada963d51513,2
03163423db66014ee9ef4a9cc7a951670a37610603121398e9248af510e47eb2,2,valid,valid,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/labels/images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.txt,images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.jpg,718d30382c824075e275a8db8a3f85750355ec33c89675836e3d61c4931e3469,2
04326e5157b88e31784e2adf85cbd3cf91aeb9a0211770cb510426ebf5300af5,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.txt,garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.jpg,37150d29f6d71313e2fe0123250a2368c81cc025c72c5f1c6fedf514f7b7540c,2
04326e5157b88e31784e2adf85cbd3cf91aeb9a0211770cb510426ebf5300af5,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.txt,garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.jpg,c6b4b6ba969fb4220809a2e2c4f356fb95a2ecb0788e0375bb2ff5d2657ec841,2
04a95ba13396763323ea7ebb9492cdb4f3f18e2cfd558d9b44022cc0a3726a24,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.txt,download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.jpg,87364ab28ece8ce06a74b91e3b500387ff735eda786c80e5c6c9a40f02b465be,2
04a95ba13396763323ea7ebb9492cdb4f3f18e2cfd558d9b44022cc0a3726a24,2,train,train,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.txt,download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.jpg,14df87f7d5b2d75715731ecc920ebb4701806ac16b20d138dbd0b3cd5b350f6c,2
