sha256,removed_image_path,removed_split,kept_image_path,kept_split,reason
00950d690534f86dd63848b55140cfc1587181449c1f906046f940571bfa6368,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
0208573db05f1c08998f5a19cc055a7cd1de249da0f28d1e8a80a61ecb020393,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-3-1-_jpg.rf.fdaba077ae485d2466a5fc941fe5fda0.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-3-1-_jpg.rf.f50a9f638e32d4d9824cf647c6ed1a68.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
02478fed90a52387be4f7b5a5af71168536dae2d4bcc5715a12e00e9633cfe24,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.jpg,valid,exact_duplicate_sha256_removed_to_prevent_leakage
03163423db66014ee9ef4a9cc7a951670a37610603121398e9248af510e47eb2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-17-_jpg.rf.6771ee395420810f76c21345af953c02.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.jpg,valid,exact_duplicate_sha256_removed_to_prevent_leakage
04326e5157b88e31784e2adf85cbd3cf91aeb9a0211770cb510426ebf5300af5,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
04a95ba13396763323ea7ebb9492cdb4f3f18e2cfd558d9b44022cc0a3726a24,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
053368bd39d37bc9ec069fdb98438199fe33761b2933282d33b88bdacda42b91,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-24-_jpg.rf.bd31fbdeeb8e9635b514b50db3ed8223.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/test/images/images-24-_jpg.rf.1584df52cb635c349a3486701abefad9.jpg,test,exact_duplicate_sha256_removed_to_prevent_leakage
0566ba5bf05c433511e4fbe00c4ee79159dc94448de1e6447ce4ff6b147107cb,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem9_jpg.rf.b8664ce723d9e5d4f2701f863d5a8ba7.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem9_jpg.rf.95bf2b9090a499cf07abe6d8516884f2.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
05806023a1aec5fa4090b408cc74d9cc712e6a2402bd1448d46d0e9185e5248c,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.f9b1ecd73384acf653c17babca6030be.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.7bfb6db10298fa92f6e65e6fdf562662.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
09804c8e42b78dab4cfb987364333b9c70daf86d8a2182f5845f903154e9f16e,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-23-_jpg.rf.58ffbf78848f84f68e2121059732fc0a.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/images-23-_jpg.rf.f280d0c0b4a83feb92229555683760b9.jpg,valid,exact_duplicate_sha256_removed_to_prevent_leakage
0a540a085ceda3540cc9763a7e1e96282c90b92dd1a5e640e394e35ad503cdf5,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem14_jpg.rf.ae4231f4dea21ace1d5e6736874fd3af.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem14_jpg.rf.8ca9f56068223d4671cb675248db2d02.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
0a7e181ccb0ce14ed24ca13bad9519664565c7c47f9868031bea6ee62971e87f,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-3-_jpeg_jpg.rf.448624cfc0d60577b686136c6facf971.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-3-_jpeg_jpg.rf.406b3c2b89839ab553953d1baf7bba36.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
0b61b2e130a0bff2f4ce8ebd8e0577715770a5530451db9384b91c3f0f5dff64,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta21_jpeg_jpg.rf.f9a07ebfb7f994898ab3bc1cadf2a5bd.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta21_jpeg_jpg.rf.b39aab4bf94d33b6f05eef4070ebbd72.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
0bbe77310108478a4f1d8601a8df6e7f592312d18a1b0047e15a57d44fe58bc9,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta8_jpeg_jpg.rf.d356774bb73b902d94623b6c5791a455.jpg,train,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta8_jpeg_jpg.rf.a8fa20e7f29fd08f514e9fc925a7449f.jpg,train,exact_duplicate_sha256_removed_to_prevent_leakage
