image,ground_truth,old_label,new_label,old_confidence,new_confidence,old_latency_ms,new_latency_ms
1-1-_jpg.rf.4d1062b47ccb41c4a55c316ca4276e12.jpg,tire,tire,tire,0.4712991416454315,0.9233582615852356,117.28,63.36
1726484414413_jpg.rf.e6705ce605ca41ed88cecc552f3f27a3.jpg,drain_inlet,drain_inlet,drain_inlet,0.8528134822845459,0.8780344128608704,55.45,55.59
1726484414568_jpg.rf.b24c74398043ca2cfffd3ddf0b1a8753.jpg,drain_inlet,drain_inlet,drain_inlet,0.948205292224884,0.9227675199508667,56.81,65.99
1726484415294_jpg.rf.d6dae2056273499da6300bcda1d38e79.jpg,drain_inlet,drain_inlet,drain_inlet,0.8177189826965332,0.8622416853904724,57.15,55.05
1726484415528_jpg.rf.66ed1c42d31e8b793a05f578e00a98f7.jpg,drain_inlet,drain_inlet,drain_inlet,0.8836254477500916,0.8509082198143005,56.79,57.74
1726484416371_jpg.rf.afe9d062f8286e3163eaef4c11e232cb.jpg,drain_inlet,drain_inlet,drain_inlet,0.9217900037765503,0.9359685778617859,54.98,56.53
20240701_124016_jpg.rf.e348edfa000d4656ff72dd01e30d9dd8.jpg,drain_inlet,drain_inlet,drain_inlet,0.9154308438301086,0.8150714039802551,58.82,55.16
20240701_124037_jpg.rf.4ab2ed3567391c6786127eaab0501d1b.jpg,drain_inlet,drain_inlet,drain_inlet,0.8343600034713745,0.8284091949462891,59.62,57.5
20240701_124333_jpg.rf.e87d4de58d6448a7fbdba69d35f37c62.jpg,artificial_container,artificial_container,artificial_container,0.9521384239196777,0.9443790316581726,59.32,57.12
20240701_124448_jpg.rf.e2bdead35f394f35a379a062a5e4cd96.jpg,artificial_container,unclassified,artificial_container,,0.7020345330238342,58.26,56.81
20240701_124451_jpg.rf.c5510468aaba5c6b38fc04c603513b05.jpg,artificial_container,artificial_container,artificial_container,0.8343832492828369,0.9037757515907288,61.59,60.62
20240701_125001_jpg.rf.ec8cf6e63eee13f775ad776a138db91f.jpg,artificial_container,artificial_container,artificial_container,0.9571067690849304,0.9503811001777649,61.0,125.68
20240701_125029_jpg.rf.51df96a345cdcc538c7564e75e80aea0.jpg,artificial_container,artificial_container,artificial_container,0.9446497559547424,0.9201626181602478,63.81,62.78
20240701_125034_jpg.rf.681f61c962f3c4686e16e797a400e79e.jpg,artificial_container,artificial_container,artificial_container,0.9330295920372009,0.915168285369873,60.81,58.6
20240701_125036_jpg.rf.632e2901b9963db14928031e91726006.jpg,artificial_container,artificial_container,artificial_container,0.9440313577651978,0.9604162573814392,63.04,60.23
20240701_125038-0-_jpg.rf.5492aa2daa83658bc8f4732af74467ee.jpg,artificial_container,artificial_container,artificial_container,0.935695469379425,0.9343352913856506,63.41,62.39
20240701_125044-0-_jpg.rf.bda2196e8aa0f9cf1040fbc2a841620e.jpg,artificial_container,artificial_container,artificial_container,0.8973836898803711,0.9265909790992737,62.98,56.98
20240701_125045-0-_jpg.rf.419c0df876c9f6ac044e68b4e5a0df09.jpg,artificial_container,artificial_container,artificial_container,0.9231900572776794,0.8863396048545837,61.21,62.76
20240701_125046-0-_jpg.rf.8fea378467831f5858663b3174a7c5b1.jpg,artificial_container,artificial_container,artificial_container,0.9453924298286438,0.9269740581512451,64.43,59.53
